,Country Name,Country Code,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,Angola,AGO,Military expenditure (% of GDP),4.707392768262331,2.4478481567170496,5.972268207194969,2.64201188106298,17.334692213615998,6.39260315427404,4.52435381521461,2.8699324451257495,3.7614790735473402,3.47118018672779,3.69224094698531,3.7614953054353197,3.1140544929574197,3.5731203644916003,4.70961004832051,4.17758456553984,3.25566035129376,3.2366594992166,4.45523942155109
1,Albania,ALB,Military expenditure (% of GDP),2.05358735905793,1.37902962734156,1.28308078036268,1.23824256064749,1.24921009885957,1.2463602418921598,1.30929137475594,1.3200344943320401,1.33684292419802,1.38115794211088,1.35000497056322,1.56776908873068,1.8207653435571998,1.98486885667765,1.5172171395596998,1.55859189302349,1.52826633776627,1.4870825765521598,1.40898210141146
2,Arab World,ARB,Military expenditure (% of GDP),6.6008772446906105,6.0199103911558405,6.5751235320464305,7.54575358912385,6.52014355048387,6.41698517387688,6.40980859809992,5.88547715026371,5.4623006974041,5.07646418006271,4.63218503465383,4.38650963716033,4.52556285531959,4.1991224021450195,5.32548543871285,5.039570388914281,4.9126428737404595,5.00384833787896,5.75548393044693
3,Argentina,ARG,Military expenditure (% of GDP),1.47307310721151,1.24122726437626,1.14013911131295,1.13631802186333,1.2203595475499298,1.14882267666887,1.18423354187058,1.0918804785974798,1.0608950570483802,0.883295358833529,0.8471547838859609,0.7882338774614692,0.792548175031362,0.762756475390461,0.8865085766863849,0.8148781054979392,0.764287094036749,0.7848247210197858,0.8377364301594359
4,Armenia,ARM,Military expenditure (% of GDP),4.05931190833614,3.2818670042301297,3.9093985598058505,3.52809600318196,3.6973742308424598,3.5600248725369705,3.12724938530975,2.69771474886414,2.72837221377968,2.74199670493715,2.87193136291811,2.9476131562586403,3.04257470127966,3.3955793627065702,4.15704990783508,4.26564605593771,3.85394644115574,3.8218101632655297,3.9972445573048403
5,Australia,AUS,Military expenditure (% of GDP),2.02131256804327,1.93044006740518,1.86733439499343,1.8711218131061202,1.88923574072912,1.82984191251005,1.8700938789187198,1.87396462061393,1.8462896887145501,1.8274107694048602,1.80249267959937,1.82233092604478,1.8153422449116698,1.7985471715833798,1.9269089560188701,1.85679136240993,1.7570782279711001,1.6709628626523998,1.6398606995251
6,Austria,AUT,Military expenditure (% of GDP),1.07323205206951,1.0496829774227099,1.04643398189713,1.01807286299799,0.980246123382213,0.9803185800859301,0.9082400407095091,0.88352783657309,0.913640318789259,0.8934804662429351,0.8501425740262629,0.7858132444591971,0.9004571727870301,0.870705123070585,0.8333795646929241,0.8212327115306209,0.7908975584520309,0.7784642506470358,0.7508253830845709
7,Azerbaijan,AZE,Military expenditure (% of GDP),2.73690130284,2.2542303413548797,2.32404979925782,2.41235591259715,2.6251099314451602,2.26786206311863,2.31206260817217,2.2433137703176604,2.4263625550968997,2.62948113760521,2.29906967458575,3.4177593325580697,2.86419491898944,3.29121114577001,3.32542168167072,2.7910043565289104,4.67013555547022,4.65861825196324,4.54092330961466
8,Belgium,BEL,Military expenditure (% of GDP),1.5657521514464199,1.54010265143452,1.47697579587888,1.4639192651100401,1.38583555922092,1.34121027642881,1.27650416647228,1.2157122077646298,1.21498815616525,1.14927213880449,1.09156005763437,1.05123918569066,1.09453530115676,1.2138983166693,1.16003992188797,1.08463286136283,1.0435067947960799,1.03819328046625,1.01034868244313
9,Burkina Faso,BFA,Military expenditure (% of GDP),1.3830426939266398,1.2870884703969698,1.41705504471596,1.2763626403725,1.3855313863292802,1.3921627531069198,1.2997898961843402,1.3244099720017,1.2072833480922,1.35796836661608,1.3513944864492802,1.2490866758738002,1.5922675815639198,1.3979037713492302,1.52145472580919,1.37751626168897,1.2947595034466202,1.3230237354878798,1.3901157360987602
10,Bangladesh,BGD,Military expenditure (% of GDP),1.5666931407425502,1.5390735944898,1.57166792587459,1.5675351983921697,1.58483439104611,1.3571191812401997,1.28842277551655,1.1857643878578201,1.13828694171388,1.12350586299567,1.09089436952842,1.10823877446278,1.1144801856829298,1.05952989264661,1.15673093933701,1.32083739648164,1.355517777279,1.3244194914998602,1.2581975220931498
11,Bulgaria,BGR,Military expenditure (% of GDP),2.3741312837802497,2.40293410901733,2.4307013549238,2.45305914743146,2.64517195633853,2.6711704653623,2.8844613869966698,2.8012596498514197,2.71202074866405,2.39199348419018,2.2528982217323397,2.09699129664056,2.2296112607375496,2.13453582058299,1.74417293470537,1.6450171927701398,1.3199772602341497,1.3395837653612899,1.46092234281618
12,Bahrain,BHR,Military expenditure (% of GDP),5.18323179048832,5.27393976376237,5.06848741255812,5.33310395251817,5.50362154366541,3.96167096884853,4.14808163198998,4.61110660635053,4.6588328030262804,4.0449288479601195,3.2143810953300695,3.10294772848129,2.9569902343439196,2.8001613687379105,3.6105352496765093,3.2777559421608995,3.59149722735675,3.8445737020779704,4.14145178849907
13,Belarus,BLR,Military expenditure (% of GDP),1.69946376942909,1.26069255990701,1.76896655126353,1.49509870243434,1.3667607383858897,1.3469841507576499,1.43829074692244,1.4002458005251202,1.29906390002339,1.35822231382833,1.4984531353018702,1.7094124919575602,1.64976591437478,1.4534928515734602,1.3725769814511102,1.3413834329232,1.22449510976582,1.24390472386982,1.28576619399319
