,Unnamed: 0,Country,AvgTemperature,suicides/100k pop,military_exp,HDI for year,gdp_per_capita ($)
0,0,Albania,16.903193529412338,47.152857142857144,1.4747571427052686,0.6730000000000005,2319.75
1,1,Argentina,17.01707071649196,121.88263157894735,0.9925880212895982,0.7944285714285713,8604.842105263158
2,2,Australia,16.914339500449554,147.3816666666667,1.83775582027136,0.9170000000000004,38080.61111111111
3,3,Austria,10.591613800206048,254.55473684210517,0.9015154117326596,0.8617142857142858,39279.10526315789
4,4,Bahrain,27.27689797267222,22.948235294117648,4.12248945567538,0.8143333333333334,18972.058823529413
5,5,Belarus,7.4833350882923675,394.8853333333333,1.4322652667730316,0.7644999999999996,3463.133333333333
6,6,Belgium,10.737883171693792,239.52473684210528,1.2325382510965046,0.8767142857142873,37263.0
7,7,Brazil,22.089507442571573,72.03210526315792,1.5819401072163617,0.715714285714286,7155.368421052632
8,8,Bulgaria,10.731872428562065,205.87277777777774,2.210032299059819,0.7518571428571429,4223.789473684211
9,9,Canada,6.806417624926086,138.6384210526316,1.2040260789340989,0.8934285714285716,36245.26315789474
10,10,Colombia,13.391235362609725,72.66,3.3999541745534017,0.6877142857142866,4432.0526315789475
11,11,Costa Rica,22.642378274837146,87.21631578947367,0.0,0.7342857142857151,6076.368421052632
12,12,Croatia,12.249150100725592,278.4455555555556,3.440544392284589,0.7828571428571427,9931.526315789473
13,13,Cyprus,21.646866255038788,31.236666666666665,2.5545134814661923,0.8386666666666657,27979.583333333332
14,14,Czech Republic,8.677782574056348,207.61631578947373,1.5643201343804571,0.8452857142857136,13484.842105263158
15,15,Denmark,8.361174021791443,168.90947368421052,1.447375686705449,0.8951428571428577,48972.52631578947
16,16,Finland,5.981254931294553,248.63684210526313,1.4143080001577033,0.8662857142857143,38948.94736842105
17,17,France,12.989073110745686,234.3052631578948,2.0806196321208383,0.8682857142857149,36325.63157894737
18,18,Germany,9.902498600405286,174.60105263157894,1.3319929040302547,0.8884285714285722,36277.94736842105
19,19,Greece,18.386493574414317,43.83944444444444,2.95345091739579,0.8404285714285713,20834.842105263157
20,20,Guatemala,19.28860702957303,37.35947368421053,0.6267151445798262,0.5884285714285715,2557.0526315789475
21,21,Hungary,10.659725749094413,378.56842105263166,1.3070745970465587,0.8004285714285718,9831.684210526315
22,22,Iceland,5.279537391804949,147.44631578947366,0.0,0.8797142857142861,44326.47368421053
23,23,Ireland,9.733511467471716,136.09157894736842,0.6613601995333148,0.8854285714285718,44029.84210526316
24,24,Israel,21.25794830699544,102.32307692307694,6.477832861325287,0.8701428571428574,26498.36842105263
25,25,Italy,14.118903352748141,94.02368421052631,1.58141221348258,0.8530000000000003,30507.526315789473
26,26,Japan,13.446836649456678,261.01684210526315,0.9409535808320688,0.8738571428571428,40801.68421052631
27,27,Kazakhstan,9.753015541873664,381.94368421052627,1.0401835894646652,0.7414285714285701,5493.105263157895
28,28,Kuwait,26.920333197864085,14.588421052631581,6.070660285484299,0.8004285714285712,30292.105263157893
29,29,Latvia,7.373702413755372,361.7405263157895,1.1540565186109533,0.7792857142857147,8276.684210526315
30,30,Mexico,20.700325352319396,60.20473684210528,0.4337274127008096,0.7277142857142855,8478.78947368421
31,31,New Zealand,15.387772664166025,166.39947368421056,1.4653159066014991,0.8937142857142855,27019.315789473683
32,32,Nicaragua,27.466574777382625,82.8875,0.7099800101966537,0.6237499999999998,1917.75
33,33,Norway,5.3112106816635185,144.0621052631579,1.7505256801284896,0.9279999999999992,67673.63157894737
34,34,Oman,29.21856287425148,12.495,8.775302215214676,0.795,19947.0
35,35,Panama,27.27049857641821,74.9261111111111,0.2787867515611794,0.7526666666666666,6681.611111111111
36,36,Philippines,27.879835016915628,31.080769230769228,1.5073374263989614,0.6433333333333331,1629.8461538461538
37,37,Poland,8.787398320542524,184.18705882352936,1.8882581947536283,0.8101428571428576,9086.0
38,38,Portugal,17.17820682373302,127.275,1.9697697423320142,0.806666666666667,17818.4375
39,39,Romania,11.423867038335276,151.2915789473684,1.9996451561977675,0.7567142857142849,5057.0
40,40,Singapore,27.821578209480077,170.80315789473684,4.1787033746575455,0.8638571428571434,45441.94736842105
41,41,South Africa,16.85895706669765,11.300555555555556,1.3696004296294788,0.6434999999999993,5456.277777777777
42,42,Spain,15.448261065936395,109.54736842105268,1.5206632325145737,0.8514285714285708,24977.894736842107
43,43,Sri Lanka,27.414645868480807,396.7155555555556,3.628303711765549,0.6790000000000002,1006.8888888888889
44,44,Sweden,7.48239812172525,161.71473684210525,1.5370588135520824,0.8940000000000007,44224.78947368421
45,45,Switzerland,10.155840463568317,235.12157894736842,0.926638238775975,0.9059999999999994,60302.10526315789
46,46,Thailand,28.88321185756492,87.69666666666666,1.5915251560362471,0.6897142857142845,3853.3333333333335
47,47,Turkey,13.478320714766927,27.974,2.9600502321603286,0.751,11961.8
48,48,Ukraine,8.887889181732445,326.99222222222215,1.9545670025651036,0.7093333333333336,1934.4444444444443
49,49,United Kingdom,10.903078854602821,83.24947368421054,2.2561675853502625,0.8860000000000009,37849.21052631579
50,50,Uruguay,16.194657312289536,251.45444444444442,2.1585003067108026,0.7611666666666663,8434.833333333334
