country,year,AvgTemperature,suicides/100k pop,HDI for year,gdp_per_capita ($),military_exp,warm/cold
Argentina,2006,17.048858447488573,128.21999999999997,,6474.999999999999,2.9476131562586403,cold
Argentina,2007,16.289682539682534,118.35000000000004,,7917.999999999999,3.0425747012796607,cold
Argentina,2008,17.419871794871792,118.10999999999999,,9843.0,3.3955793627065702,cold
Argentina,2009,17.23046398046397,107.32000000000001,,8961.0,4.157049907835079,cold
Argentina,2010,17.225722983257224,111.24000000000001,0.8109999999999999,11272.999999999998,4.265646055937709,cold
Argentina,2011,17.352968036529692,105.86999999999998,0.8180000000000002,13945.999999999998,3.8539464411557396,cold
Argentina,2012,17.625075895567704,119.81999999999998,0.8310000000000001,14203.000000000002,3.8218101632655306,cold
Argentina,2013,17.155859969558602,103.42,0.8330000000000001,14206.000000000002,3.997244557304841,cold
Australia,1997,16.75098934550987,186.93000000000006,,25233.999999999996,1.04643398189713,cold
Australia,1998,16.778247734138976,176.41000000000003,,22896.999999999996,1.0180728629979898,cold
Australia,1999,16.92909035409036,167.14999999999998,,22016.000000000004,0.9802461233822132,cold
Australia,2000,16.80567698846386,157.82000000000005,0.8979999999999998,23219.000000000004,0.9803185800859303,cold
Australia,2001,16.79392551892553,158.79000000000002,,20860.0,0.9082400407095093,cold
Australia,2002,17.05018518518517,144.68,,21474.0,0.88352783657309,cold
Australia,2003,16.879267022124186,133.84,,25059.0,0.9136403187892589,cold
Australia,2004,16.95470552519732,133.76000000000002,,32454.0,0.8934804662429353,cold
Australia,2006,17.041613394216153,127.89000000000001,,39014.0,0.7858132444591973,cold
Australia,2007,17.369169719169726,130.25,,43171.0,0.9004571727870299,cold
Australia,2008,16.742646609184877,130.48999999999998,,52315.00000000001,0.8707051230705848,cold
Australia,2009,17.446428571428587,130.12,,45127.99999999999,0.8333795646929242,cold
Australia,2010,17.063531202435357,132.64000000000001,0.9270000000000002,54886.99999999999,0.8212327115306207,cold
Australia,2011,16.966027397260245,133.21999999999997,0.93,66769.99999999999,0.7908975584520309,cold
Australia,2012,16.808712811171826,139.57,0.932,72669.0,0.7784642506470357,cold
Australia,2013,17.434809123063776,138.78,0.9329999999999999,72856.0,0.7508253830845711,cold
Austria,1997,9.823744292237437,297.5000000000001,,28325.000000000004,2.3240497992578204,cold
Austria,1998,10.743305632502308,289.38,,28971.999999999996,2.41235591259715,cold
Austria,1999,10.530677655677659,280.3,,28722.0,2.6251099314451602,cold
Austria,2000,11.533090467516695,289.77,0.836,25922.000000000004,2.26786206311863,cold
Austria,2001,10.457229832572304,261.90999999999997,,25848.0,2.31206260817217,cold
Austria,2002,11.03831948291783,276.92,,27771.999999999996,2.2433137703176604,cold
Austria,2003,10.830593607305936,257.06,,33888.99999999999,2.4263625550969006,cold
Austria,2004,10.335003035822707,254.04,,38711.0,2.62948113760521,cold
Austria,2005,10.167884322678844,235.24999999999997,0.8530000000000002,40367.0,2.29906967458575,cold
Austria,2006,10.686301369863017,218.89999999999995,,42698.0,3.4177593325580706,cold
Austria,2007,11.671703296703301,217.31,,49218.0,2.864194918989439,cold
Austria,2008,11.439573820395736,216.45000000000002,,54294.0,3.2912111457700095,cold
Austria,2009,10.985500610500603,213.22,,50356.00000000001,3.32542168167072,cold
Austria,2010,9.583713850837132,207.55000000000004,0.8790000000000001,49180.99999999999,2.79100435652891,cold
Austria,2011,10.71080669710807,211.49,0.8810000000000001,53923.00000000001,4.67013555547022,cold
Austria,2012,11.061930783242259,206.63,0.884,50979.0,4.65861825196324,cold
Austria,2013,10.792389649923903,212.12,0.884,53229.0,4.5409233096146595,cold
Bahrain,1997,25.998477929984777,0.0,,11985.0,1.4170550447159602,warm
Bahrain,1998,27.889350569405966,0.0,,11325.0,1.2763626403725,warm
Bahrain,1999,27.942155067155046,22.459999999999997,,11703.0,1.3855313863292806,warm
Bahrain,2000,27.00333940497872,32.73,0.7940000000000002,15345.0,1.39216275310692,warm
Bahrain,2001,27.401674277016742,30.659999999999993,,14383.000000000002,1.2997898961843404,warm
Bahrain,2002,27.147737765466278,27.68,,14572.000000000002,1.3244099720017,warm
Bahrain,2003,27.209132420091297,32.39,,15756.0,1.2072833480921998,warm
Bahrain,2004,27.099119611414697,54.21000000000001,,17497.000000000004,1.3579683666160796,warm
Bahrain,2005,26.78295281582953,40.22,0.8159999999999997,19485.0,1.35139448644928,warm
